Tarih,K/D/A,KDA,LP,CS,Lig
11 gün önce,8/7/2,1.43:1 KDA,K/Katletme 30%,CS 172 (6.5),Silver 1
12 gün önce,7/7/4,1.57:1 KDA,K/Katletme 52%,CS 197 (7.5),Silver 1
12 gün önce,17/5/6,4.60:1 KDA,K/Katletme 48%,CS 237 (6.4),Silver 1
12 gün önce,4/7/17,3.00:1 KDA,K/Katletme 48%,CS 153 (5.2),Silver 1
12 gün önce,13/4/1,3.50:1 KDA,K/Katletme 41%,CS 200 (7.7),Silver 1
13 gün önce,4/9/3,0.78:1 KDA,K/Katletme 20%,CS 208 (6.2),Silver 2
13 gün önce,8/3/3,3.67:1 KDA,K/Katletme 22%,CS 302 (8.6),Silver 2
14 gün önce,8/5/9,3.40:1 KDA,K/Katletme 59%,CS 229 (7.8),Silver 2
14 gün önce,9/12/1,0.83:1 KDA,K/Katletme 26%,CS 195 (6.2),Silver 2
15 gün önce,4/8/4,1.00:1 KDA,K/Katletme 22%,CS 197 (6.5),Silver 2
16 gün önce,5/6/4,1.50:1 KDA,K/Katletme 30%,CS 189 (6.2),Silver 2
16 gün önce,5/5/1,1.20:1 KDA,K/Katletme 33%,CS 172 (7.3),Silver 2
16 gün önce,8/10/1,0.90:1 KDA,K/Katletme 26%,CS 262 (7),Silver 3
16 gün önce,N/A/N/A/N/A,N/A,N/A,N/A,N/A
16 gün önce,4/10/5,0.90:1 KDA,K/Katletme 30%,CS 172 (6.6),Silver 3
16 gün önce,6/8/9,1.88:1 KDA,K/Katletme 39%,CS 173 (5.6),Silver 4
16 gün önce,3/8/2,0.63:1 KDA,K/Katletme 26%,CS 97 (4.8),Silver 4
23 gün önce,8/9/7,1.67:1 KDA,K/Katletme 47%,CS 194 (5.8),Silver 2
24 gün önce,7/5/9,3.20:1 KDA,K/Katletme 42%,CS 146 (5.2),Silver 4
24 gün önce,4/11/1,0.45:1 KDA,K/Katletme 63%,CS 101 (4.7),Silver 3
25 gün önce,6/6/6,2.00:1 KDA,K/Katletme 55%,CS 180 (5.8),Silver 2
25 gün önce,9/5/6,3.00:1 KDA,K/Katletme 75%,CS 140 (4.4),Silver 2
25 gün önce,5/5/2,1.40:1 KDA,K/Katletme 70%,CS 76 (4.7),Silver 2
25 gün önce,10/9/8,2.00:1 KDA,K/Katletme 47%,CS 168 (5.3),Silver 2
25 gün önce,1/8/6,0.88:1 KDA,K/Katletme 39%,CS 129 (4.7),Silver 2
25 gün önce,15/10/9,2.40:1 KDA,K/Katletme 44%,CS 176 (4.8),Silver 2
25 gün önce,2/8/1,0.38:1 KDA,K/Katletme 19%,CS 199 (5.9),Silver 2
25 gün önce,4/5/0,0.80:1 KDA,K/Katletme 24%,CS 125 (5.2),Silver 2
bir ay önce,10/11/6,1.45:1 KDA,K/Katletme 39%,CS 182 (4.7),Silver 2
bir ay önce,2/9/7,1.00:1 KDA,K/Katletme 21%,CS 180 (5.8),Silver 2
bir ay önce,10/10/8,1.80:1 KDA,K/Katletme 33%,CS 186 (4.5),Silver 2
bir ay önce,13/11/10,2.09:1 KDA,K/Katletme 56%,CS 245 (7),Silver 1
bir ay önce,2/7/2,0.57:1 KDA,K/Katletme 17%,CS 144 (5.9),Silver 1
bir ay önce,4/4/11,3.75:1 KDA,K/Katletme 43%,CS 218 (5.7),Silver 2
bir ay önce,3/7/12,2.14:1 KDA,K/Katletme 38%,CS 201 (6.2),Silver 2
bir ay önce,4/3/8,4.00:1 KDA,K/Katletme 31%,CS 158 (6.6),Silver 2
bir ay önce,10/6/11,3.50:1 KDA,K/Katletme 68%,CS 251 (7.6),Silver 2
bir ay önce,8/3/2,3.33:1 KDA,K/Katletme 43%,CS 173 (8.1),Silver 2
bir ay önce,7/6/6,2.17:1 KDA,K/Katletme 54%,CS 230 (7.4),Silver 2
bir ay önce,12/2/1,6.50:1 KDA,K/Katletme 43%,CS 156 (5.7),Silver 2
bir ay önce,11/10/8,1.90:1 KDA,K/Katletme 43%,CS 221 (6.3),Silver 2
bir ay önce,N/A/N/A/N/A,N/A,N/A,N/A,N/A
bir ay önce,11/9/2,1.44:1 KDA,K/Katletme 50%,CS 233 (6.3),Silver 1
bir ay önce,6/10/2,0.80:1 KDA,K/Katletme 19%,CS 215 (5.7),Silver 2
bir ay önce,2/9/3,0.56:1 KDA,K/Katletme 23%,CS 163 (5.8),Silver 1
bir ay önce,2/9/0,0.22:1 KDA,K/Katletme 25%,CS 104 (5.8),Silver 1
bir ay önce,6/4/8,3.50:1 KDA,K/Katletme 40%,CS 168 (6.4),Silver 1
